committee_id;professional_role_id;parent_id;license_id;name;price;deleted_at;created_at;updated_at
Sport Committee;Target Shooting Judge ;;NULL;Target Shooting Judge - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Underwater Hockey Referee ;;NULL;Underwater Hockey Referee - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Underwater Hockey Referee ;;NULL;Underwater Hockey Referee - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Underwater Hockey Referee ;;NULL;Underwater Hockey Referee - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Underwater Rugby Referee ;;NULL;Underwater Rugby Referee - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Underwater Rugby Referee ;;NULL;Underwater Rugby Referee - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Underwater Rugby Referee ;;NULL;Underwater Rugby Referee - Level 3;NULL;NULL;NULL;NULL
Sport Committee;Visual Jury ;;NULL;Visual Jury - Level 1;NULL;NULL;NULL;NULL
Sport Committee;Visual Jury ;;NULL;Visual Jury - Level 2;NULL;NULL;NULL;NULL
Sport Committee;Visual Jury ;;NULL;Visual Jury - Level 3;NULL;NULL;NULL;NULL
